Rec ID,Total Weight,Total Time,Average Speed,Max Speed,Min Speed,ID,Time,Rate
28,0.325,14.0,0.023,0.028,0.014,0,0.0,0.0
28,0.325,14.0,0.023,0.028,0.014,1,0.5,0.018
28,0.325,14.0,0.023,0.028,0.014,2,1.0,0.014
28,0.325,14.0,0.023,0.028,0.014,3,1.5,0.016
28,0.325,14.0,0.023,0.028,0.014,4,2.0,0.018
28,0.325,14.0,0.023,0.028,0.014,5,2.5,0.018
28,0.325,14.0,0.023,0.028,0.014,6,3.0,0.022
28,0.325,14.0,0.023,0.028,0.014,7,3.5,0.022
28,0.325,14.0,0.023,0.028,0.014,8,4.0,0.022
28,0.325,14.0,0.023,0.028,0.014,9,4.5,0.022
28,0.325,14.0,0.023,0.028,0.014,10,5.0,0.022
28,0.325,14.0,0.023,0.028,0.014,11,5.5,0.02
28,0.325,14.0,0.023,0.028,0.014,12,6.0,0.02
28,0.325,14.0,0.023,0.028,0.014,13,6.5,0.024
28,0.325,14.0,0.023,0.028,0.014,14,7.0,0.028
28,0.325,14.0,0.023,0.028,0.014,15,7.5,0.026
28,0.325,14.0,0.023,0.028,0.014,16,8.0,0.026
28,0.325,14.0,0.023,0.028,0.014,17,8.5,0.024
28,0.325,14.0,0.023,0.028,0.014,18,9.0,0.026
28,0.325,14.0,0.023,0.028,0.014,19,9.5,0.024
28,0.325,14.0,0.023,0.028,0.014,20,10.0,0.026
28,0.325,14.0,0.023,0.028,0.014,21,10.5,0.024
28,0.325,14.0,0.023,0.028,0.014,22,11.0,0.026
28,0.325,14.0,0.023,0.028,0.014,23,11.5,0.026
28,0.325,14.0,0.023,0.028,0.014,24,12.0,0.026
28,0.325,14.0,0.023,0.028,0.014,25,12.5,0.022
28,0.325,14.0,0.023,0.028,0.014,26,13.0,0.026
28,0.325,14.0,0.023,0.028,0.014,27,13.5,0.026
28,0.325,14.0,0.023,0.028,0.014,28,14.0,0.024
Rec ID,Total Weight,Total Time,Average Speed,Max Speed,Min Speed,ID,Time,Rate
27,0.381,18.5,0.02,0.03,0.008,0,0.0,0.0
27,0.381,18.5,0.02,0.03,0.008,1,0.5,0.01
27,0.381,18.5,0.02,0.03,0.008,2,1.0,0.01
27,0.381,18.5,0.02,0.03,0.008,3,1.5,0.012
27,0.381,18.5,0.02,0.03,0.008,4,2.0,0.016
27,0.381,18.5,0.02,0.03,0.008,5,2.5,0.016
27,0.381,18.5,0.02,0.03,0.008,6,3.0,0.016
27,0.381,18.5,0.02,0.03,0.008,7,3.5,0.018
27,0.381,18.5,0.02,0.03,0.008,8,4.0,0.02
27,0.381,18.5,0.02,0.03,0.008,9,4.5,0.02
27,0.381,18.5,0.02,0.03,0.008,10,5.0,0.02
27,0.381,18.5,0.02,0.03,0.008,11,5.5,0.02
27,0.381,18.5,0.02,0.03,0.008,12,6.0,0.022
27,0.381,18.5,0.02,0.03,0.008,13,6.5,0.022
27,0.381,18.5,0.02,0.03,0.008,14,7.0,0.022
27,0.381,18.5,0.02,0.03,0.008,15,7.5,0.02
27,0.381,18.5,0.02,0.03,0.008,16,8.0,0.022
27,0.381,18.5,0.02,0.03,0.008,17,8.5,0.022
27,0.381,18.5,0.02,0.03,0.008,18,9.0,0.022
27,0.381,18.5,0.02,0.03,0.008,19,9.5,0.022
27,0.381,18.5,0.02,0.03,0.008,20,10.0,0.026
27,0.381,18.5,0.02,0.03,0.008,21,10.5,0.028
27,0.381,18.5,0.02,0.03,0.008,22,11.0,0.03
27,0.381,18.5,0.02,0.03,0.008,23,11.5,0.03
27,0.381,18.5,0.02,0.03,0.008,24,12.0,0.028
27,0.381,18.5,0.02,0.03,0.008,25,12.5,0.028
27,0.381,18.5,0.02,0.03,0.008,26,13.0,0.028
27,0.381,18.5,0.02,0.03,0.008,27,13.5,0.026
27,0.381,18.5,0.02,0.03,0.008,28,14.0,0.024
27,0.381,18.5,0.02,0.03,0.008,29,14.5,0.022
27,0.381,18.5,0.02,0.03,0.008,30,15.0,0.022
27,0.381,18.5,0.02,0.03,0.008,31,15.5,0.016
27,0.381,18.5,0.02,0.03,0.008,32,16.0,0.02
27,0.381,18.5,0.02,0.03,0.008,33,16.5,0.02
27,0.381,18.5,0.02,0.03,0.008,34,17.0,0.02
27,0.381,18.5,0.02,0.03,0.008,35,17.5,0.02
27,0.381,18.5,0.02,0.03,0.008,36,18.0,0.008
27,0.381,18.5,0.02,0.03,0.008,37,18.5,0.01
Rec ID,Total Weight,Total Time,Average Speed,Max Speed,Min Speed,ID,Time,Rate
26,0.336,22.0,0.015,0.024,0.004,0,0.0,0.0
26,0.336,22.0,0.015,0.024,0.004,1,0.5,0.02
26,0.336,22.0,0.015,0.024,0.004,2,1.0,0.015999999999999997
26,0.336,22.0,0.015,0.024,0.004,3,1.5,0.016
26,0.336,22.0,0.015,0.024,0.004,4,2.0,0.01800000000000001
26,0.336,22.0,0.015,0.024,0.004,5,2.5,0.013999999999999999
26,0.336,22.0,0.015,0.024,0.004,6,3.0,0.016
26,0.336,22.0,0.015,0.024,0.004,7,3.5,0.016
26,0.336,22.0,0.015,0.024,0.004,8,4.0,0.016
26,0.336,22.0,0.015,0.024,0.004,9,4.5,0.015999999999999986
26,0.336,22.0,0.015,0.024,0.004,10,5.0,0.014000000000000012
26,0.336,22.0,0.015,0.024,0.004,11,5.5,0.015999999999999986
26,0.336,22.0,0.015,0.024,0.004,12,6.0,0.016000000000000014
26,0.336,22.0,0.015,0.024,0.004,13,6.5,0.015999999999999986
26,0.336,22.0,0.015,0.024,0.004,14,7.0,0.016000000000000014
26,0.336,22.0,0.015,0.024,0.004,15,7.5,0.015999999999999986
26,0.336,22.0,0.015,0.024,0.004,16,8.0,0.018000000000000016
26,0.336,22.0,0.015,0.024,0.004,17,8.5,0.018000000000000016
26,0.336,22.0,0.015,0.024,0.004,18,9.0,0.01799999999999996
26,0.336,22.0,0.015,0.024,0.004,19,9.5,0.018000000000000016
26,0.336,22.0,0.015,0.024,0.004,20,10.0,0.018000000000000016
26,0.336,22.0,0.015,0.024,0.004,21,10.5,0.01799999999999996
26,0.336,22.0,0.015,0.024,0.004,22,11.0,0.018000000000000016
26,0.336,22.0,0.015,0.024,0.004,23,11.5,0.016000000000000014
26,0.336,22.0,0.015,0.024,0.004,24,12.0,0.016000000000000014
26,0.336,22.0,0.015,0.024,0.004,25,12.5,0.023999999999999966
26,0.336,22.0,0.015,0.024,0.004,26,13.0,0.020000000000000018
26,0.336,22.0,0.015,0.024,0.004,27,13.5,0.020000000000000018
26,0.336,22.0,0.015,0.024,0.004,28,14.0,0.019999999999999962
26,0.336,22.0,0.015,0.024,0.004,29,14.5,0.020000000000000018
26,0.336,22.0,0.015,0.024,0.004,30,15.0,0.018000000000000016
26,0.336,22.0,0.015,0.024,0.004,31,15.5,0.018000000000000016
26,0.336,22.0,0.015,0.024,0.004,32,16.0,0.018000000000000016
26,0.336,22.0,0.015,0.024,0.004,33,16.5,0.015999999999999903
26,0.336,22.0,0.015,0.024,0.004,34,17.0,0.01200000000000001
26,0.336,22.0,0.015,0.024,0.004,35,17.5,0.01200000000000001
26,0.336,22.0,0.015,0.024,0.004,36,18.0,0.010000000000000009
26,0.336,22.0,0.015,0.024,0.004,37,18.5,0.010000000000000009
26,0.336,22.0,0.015,0.024,0.004,38,19.0,0.010000000000000009
26,0.336,22.0,0.015,0.024,0.004,39,19.5,0.010000000000000009
26,0.336,22.0,0.015,0.024,0.004,40,20.0,0.008000000000000007
26,0.336,22.0,0.015,0.024,0.004,41,20.5,0.006000000000000005
26,0.336,22.0,0.015,0.024,0.004,42,21.0,0.006000000000000005
26,0.336,22.0,0.015,0.024,0.004,43,21.5,0.0040000000000000036
26,0.336,22.0,0.015,0.024,0.004,44,22.0,0.006000000000000005
Rec ID,Total Weight,Total Time,Average Speed,Max Speed,Min Speed,ID,Time,Rate
25,257.0,18.5,13.784,26.0,2.0,0,0.0,0.0
25,257.0,18.5,13.784,26.0,2.0,1,0.5,18.0
25,257.0,18.5,13.784,26.0,2.0,2,1.0,12.0
25,257.0,18.5,13.784,26.0,2.0,3,1.5,18.0
25,257.0,18.5,13.784,26.0,2.0,4,2.0,20.0
25,257.0,18.5,13.784,26.0,2.0,5,2.5,20.0
25,257.0,18.5,13.784,26.0,2.0,6,3.0,22.0
25,257.0,18.5,13.784,26.0,2.0,7,3.5,20.0
25,257.0,18.5,13.784,26.0,2.0,8,4.0,18.0
25,257.0,18.5,13.784,26.0,2.0,9,4.5,16.0
25,257.0,18.5,13.784,26.0,2.0,10,5.0,16.0
25,257.0,18.5,13.784,26.0,2.0,11,5.5,18.0
25,257.0,18.5,13.784,26.0,2.0,12,6.0,22.0
25,257.0,18.5,13.784,26.0,2.0,13,6.5,20.0
25,257.0,18.5,13.784,26.0,2.0,14,7.0,22.0
25,257.0,18.5,13.784,26.0,2.0,15,7.5,22.0
25,257.0,18.5,13.784,26.0,2.0,16,8.0,22.0
25,257.0,18.5,13.784,26.0,2.0,17,8.5,20.0
25,257.0,18.5,13.784,26.0,2.0,18,9.0,16.0
25,257.0,18.5,13.784,26.0,2.0,19,9.5,26.0
25,257.0,18.5,13.784,26.0,2.0,20,10.0,18.0
25,257.0,18.5,13.784,26.0,2.0,21,10.5,14.0
25,257.0,18.5,13.784,26.0,2.0,22,11.0,16.0
25,257.0,18.5,13.784,26.0,2.0,23,11.5,14.0
25,257.0,18.5,13.784,26.0,2.0,24,12.0,12.0
25,257.0,18.5,13.784,26.0,2.0,25,12.5,12.0
25,257.0,18.5,13.784,26.0,2.0,26,13.0,8.0
25,257.0,18.5,13.784,26.0,2.0,27,13.5,4.0
25,257.0,18.5,13.784,26.0,2.0,28,14.0,6.0
25,257.0,18.5,13.784,26.0,2.0,29,14.5,4.0
25,257.0,18.5,13.784,26.0,2.0,30,15.0,4.0
25,257.0,18.5,13.784,26.0,2.0,31,15.5,4.0
25,257.0,18.5,13.784,26.0,2.0,32,16.0,6.0
25,257.0,18.5,13.784,26.0,2.0,33,16.5,6.0
25,257.0,18.5,13.784,26.0,2.0,34,17.0,4.0
25,257.0,18.5,13.784,26.0,2.0,35,17.5,4.0
25,257.0,18.5,13.784,26.0,2.0,36,18.0,2.0
25,257.0,18.5,13.784,26.0,2.0,37,18.5,4.0
Rec ID,Total Weight,Total Time,Average Speed,Max Speed,Min Speed,ID,Time,Rate
24,27.0,4.5,5.556,8.0,2.0,0,0.0,0.0
24,27.0,4.5,5.556,8.0,2.0,1,0.5,8.0
24,27.0,4.5,5.556,8.0,2.0,2,1.0,2.0
24,27.0,4.5,5.556,8.0,2.0,3,1.5,0.0
24,27.0,4.5,5.556,8.0,2.0,4,2.0,6.0
24,27.0,4.5,5.556,8.0,2.0,5,2.5,8.0
24,27.0,4.5,5.556,8.0,2.0,6,3.0,8.0
24,27.0,4.5,5.556,8.0,2.0,7,3.5,8.0
24,27.0,4.5,5.556,8.0,2.0,8,4.0,6.0
24,27.0,4.5,5.556,8.0,2.0,9,4.5,4.0
Rec ID,Total Weight,Total Time,Average Speed,Max Speed,Min Speed,ID,Time,Rate
23,298.0,17.5,16.971,24.0,2.0,0,0.0,0.0
23,298.0,17.5,16.971,24.0,2.0,1,0.5,24.0
23,298.0,17.5,16.971,24.0,2.0,2,1.0,14.0
23,298.0,17.5,16.971,24.0,2.0,3,1.5,16.0
23,298.0,17.5,16.971,24.0,2.0,4,2.0,16.0
23,298.0,17.5,16.971,24.0,2.0,5,2.5,18.0
23,298.0,17.5,16.971,24.0,2.0,6,3.0,18.0
23,298.0,17.5,16.971,24.0,2.0,7,3.5,18.0
23,298.0,17.5,16.971,24.0,2.0,8,4.0,16.0
23,298.0,17.5,16.971,24.0,2.0,9,4.5,20.0
23,298.0,17.5,16.971,24.0,2.0,10,5.0,18.0
23,298.0,17.5,16.971,24.0,2.0,11,5.5,24.0
23,298.0,17.5,16.971,24.0,2.0,12,6.0,20.0
23,298.0,17.5,16.971,24.0,2.0,13,6.5,20.0
23,298.0,17.5,16.971,24.0,2.0,14,7.0,20.0
23,298.0,17.5,16.971,24.0,2.0,15,7.5,20.0
23,298.0,17.5,16.971,24.0,2.0,16,8.0,20.0
23,298.0,17.5,16.971,24.0,2.0,17,8.5,22.0
23,298.0,17.5,16.971,24.0,2.0,18,9.0,22.0
23,298.0,17.5,16.971,24.0,2.0,19,9.5,20.0
23,298.0,17.5,16.971,24.0,2.0,20,10.0,22.0
23,298.0,17.5,16.971,24.0,2.0,21,10.5,22.0
23,298.0,17.5,16.971,24.0,2.0,22,11.0,20.0
23,298.0,17.5,16.971,24.0,2.0,23,11.5,20.0
23,298.0,17.5,16.971,24.0,2.0,24,12.0,20.0
23,298.0,17.5,16.971,24.0,2.0,25,12.5,16.0
23,298.0,17.5,16.971,24.0,2.0,26,13.0,18.0
23,298.0,17.5,16.971,24.0,2.0,27,13.5,16.0
23,298.0,17.5,16.971,24.0,2.0,28,14.0,16.0
23,298.0,17.5,16.971,24.0,2.0,29,14.5,16.0
23,298.0,17.5,16.971,24.0,2.0,30,15.0,16.0
23,298.0,17.5,16.971,24.0,2.0,31,15.5,10.0
23,298.0,17.5,16.971,24.0,2.0,32,16.0,6.0
23,298.0,17.5,16.971,24.0,2.0,33,16.5,4.0
23,298.0,17.5,16.971,24.0,2.0,34,17.0,4.0
23,298.0,17.5,16.971,24.0,2.0,35,17.5,2.0
Rec ID,Total Weight,Total Time,Average Speed,Max Speed,Min Speed,ID,Time,Rate
22,241.0,14.0,17.0,24.0,10.0,0,0.0,0.0
22,241.0,14.0,17.0,24.0,10.0,1,0.5,10.0
22,241.0,14.0,17.0,24.0,10.0,2,1.0,10.0
22,241.0,14.0,17.0,24.0,10.0,3,1.5,16.0
22,241.0,14.0,17.0,24.0,10.0,4,2.0,14.0
22,241.0,14.0,17.0,24.0,10.0,5,2.5,14.0
22,241.0,14.0,17.0,24.0,10.0,6,3.0,14.0
22,241.0,14.0,17.0,24.0,10.0,7,3.5,16.0
22,241.0,14.0,17.0,24.0,10.0,8,4.0,16.0
22,241.0,14.0,17.0,24.0,10.0,9,4.5,16.0
22,241.0,14.0,17.0,24.0,10.0,10,5.0,16.0
22,241.0,14.0,17.0,24.0,10.0,11,5.5,18.0
22,241.0,14.0,17.0,24.0,10.0,12,6.0,20.0
22,241.0,14.0,17.0,24.0,10.0,13,6.5,20.0
22,241.0,14.0,17.0,24.0,10.0,14,7.0,20.0
22,241.0,14.0,17.0,24.0,10.0,15,7.5,22.0
22,241.0,14.0,17.0,24.0,10.0,16,8.0,20.0
22,241.0,14.0,17.0,24.0,10.0,17,8.5,22.0
22,241.0,14.0,17.0,24.0,10.0,18,9.0,22.0
22,241.0,14.0,17.0,24.0,10.0,19,9.5,20.0
22,241.0,14.0,17.0,24.0,10.0,20,10.0,16.0
22,241.0,14.0,17.0,24.0,10.0,21,10.5,14.0
22,241.0,14.0,17.0,24.0,10.0,22,11.0,14.0
22,241.0,14.0,17.0,24.0,10.0,23,11.5,16.0
22,241.0,14.0,17.0,24.0,10.0,24,12.0,18.0
22,241.0,14.0,17.0,24.0,10.0,25,12.5,20.0
22,241.0,14.0,17.0,24.0,10.0,26,13.0,24.0
22,241.0,14.0,17.0,24.0,10.0,27,13.5,14.0
22,241.0,14.0,17.0,24.0,10.0,28,14.0,14.0
Rec ID,Total Weight,Total Time,Average Speed,Max Speed,Min Speed,ID,Time,Rate
21,83.0,11.5,7.13,12.0,2.0,0,0.0,0.0
21,83.0,11.5,7.13,12.0,2.0,1,0.5,6.0
21,83.0,11.5,7.13,12.0,2.0,2,1.0,2.0
